Category,language_code,ISO_639,Num_Words,Num_Sources,Num_Sections,Num_Images,Page_Views,Edits_30_Days,Num_Links_to_Wikipedia,URL,Original_Topic,date,language
Public Health,ab,abk,1312,0,12,0,29,0,7,https://ab.wikipedia.org/wiki/%D0%90%D0%B3%D3%99%D0%B0%D0%B1%D0%B7%D0%B8%D0%B0%D1%80%D0%B0%D1%85%D1%8C%D1%87%D0%B0%D1%80%D0%B0_%D0%B0%D0%B4%D1%83%D0%BD%D0%B5%D0%B8%D0%B7%D0%B5%D0%B3%D1%8C%D1%82%D3%99%D0%B8_%D0%B0%D0%B8%D2%BF%D0%BA%D0%B0%D0%B0%D1%80%D0%B0,World_Health_Organization,23/3/2021,Abkhaz
Climate Change,af,afr,268,10,1,1,8,0,19,https://af.wikipedia.org/wiki/Skielike_klimaatsverandering,Abrupt_climate_change,11/12/2022,Afrikaans
Biodiversity Conservation,af,afr,635,1,5,3,NA,2,50,https://af.wikipedia.org/wiki/Biodiversiteit,Biodiversity,10/8/2007,Afrikaans
Climate Change,af,afr,7326,87,19,34,NA,2,115,https://af.wikipedia.org/wiki/Aardverwarming,Climate_change,10/8/2007,Afrikaans
Biodiversity Conservation,af,afr,297,2,1,2,164,0,15,https://af.wikipedia.org/wiki/Bewaringstatus,Conservation_status,28/2/2009,Afrikaans
Public Health,af,afr,150,10,3,3,177,0,22,https://af.wikipedia.org/wiki/Koronavirussiekte-2019,COVID-19,22/5/2020,Afrikaans
Biodiversity Conservation,af,afr,149,0,0,3,483,0,11,https://af.wikipedia.org/wiki/Bedreigde_spesie,Endangered_species,11/2/2009,Afrikaans
Biodiversity Conservation,af,afr,188,0,1,2,89,0,20,https://af.wikipedia.org/wiki/Endemie_(ekologie),Endemism,20/12/2004,Afrikaans
Biodiversity Conservation,af,afr,1234,15,6,6,221,0,36,https://af.wikipedia.org/wiki/Uitsterwing,Extinction,9/2/2013,Afrikaans
Biodiversity Conservation,af,afr,58,0,1,4,30,0,10,https://af.wikipedia.org/wiki/Global_Biodiversity_Information_Facility,Global_Biodiversity_Information_Facility,4/3/2018,Afrikaans
Biodiversity Conservation,af,afr,215,6,2,1,39,0,24,https://af.wikipedia.org/wiki/Habitatverlies,Habitat_destruction,22/3/2023,Afrikaans
Public Health,af,afr,1190,21,5,3,340,0,13,https://af.wikipedia.org/wiki/Gesondheidsbeleid,Health_policy,29/7/2017,Afrikaans
Biodiversity Conservation,af,afr,104,1,2,2,75,0,30,https://af.wikipedia.org/wiki/Internasionale_Unie_vir_die_Bewaring_van_die_Natuur,International_Union_for_Conservation_of_Nature,3/11/2008,Afrikaans
Biodiversity Conservation,af,afr,66,0,1,3,39,0,9,https://af.wikipedia.org/wiki/Indringerplant,Invasive_species,13/4/2006,Afrikaans
Biodiversity Conservation,af,afr,78,2,28,0,431,0,182,https://af.wikipedia.org/wiki/Lys_van_medisinale_kruie,List_of_plants_used_in_herbalism,15/12/2016,Afrikaans
Biodiversity Conservation,af,afr,114,0,1,2,16,0,12,https://af.wikipedia.org/wiki/Byna-bedreigde_spesie,Near-threatened_species,9/2/2013,Afrikaans
Biodiversity Conservation,af,afr,344,4,1,2,146,0,15,https://af.wikipedia.org/wiki/Openbare_gesondheid,Public_health,12/4/2016,Afrikaans
Biodiversity Conservation,af,afr,119,1,2,2,52,0,14,https://af.wikipedia.org/wiki/Kwesbare_spesie,Vulnerable_species,9/2/2013,Afrikaans
Public Health,af,afr,290,2,6,8,267,0,67,https://af.wikipedia.org/wiki/W%C3%AAreldgesondheidsorganisasie,World_Health_Organization,28/12/2006,Afrikaans
Climate Change,als,als,440,5,3,3,97,0,11,https://als.wikipedia.org/wiki/Globale_Erw%C3%A4rmung,Climate_change,8/1/2011,Alemannic
Biodiversity Conservation,als,als,199,0,0,2,17,0,6,https://als.wikipedia.org/wiki/Gef%C3%A4hrdete_Arten,Endangered_species,3/7/2015,Alemannic
Biodiversity Conservation,als,als,146,0,1,0,6,0,3,https://als.wikipedia.org/wiki/Internationaler_Tag_der_biologischen_Vielfalt,International_Day_for_Biological_Diversity,22/5/2019,Alemannic
Biodiversity Conservation,als,als,202,0,4,4,29,0,15,https://als.wikipedia.org/wiki/Regenwald,Rainforest,3/6/2012,Alemannic
